BTOP_WINS,BTOP_LOSSES,BTOP_LEAGUE_POINTS,BJGL_WINS,BJGL_LOSSES,BJGL_LEAGUE_POINTS,BMID_WINS,BMID_LOSSES,BMID_LEAGUE_POINTS,BBOT_WINS,BBOT_LOSSES,BBOT_LEAGUE_POINTS,BSUP_WINS,BSUP_LOSSES,BSUP_LEAGUE_POINTS,RTOP_WINS,RTOP_LOSSES,RTOP_LEAGUE_POINTS,RJGL_WINS,RJGL_LOSSES,RJGL_LEAGUE_POINTS,RMID_WINS,RMID_LOSSES,RMID_LEAGUE_POINTS,RBOT_WINS,RBOT_LOSSES,RBOT_LEAGUE_POINTS,RSUP_WINS,RSUP_LOSSES,RSUP_LEAGUE_POINTS
332,273,931,333,273,1008,181,131,931,179,171,691,268,238,717,433,379,1006,249,222,898,432.0,391.0,868.0,186,148,862,494,450,936
670,635,730,249,222,898,555,489,1276,118,101,592,439,412,584,465,422,925,84,40,403,432.0,391.0,868.0,660,624,728,177,106,1303
373,340,709,249,222,898,254,195,705,34,35,4,177,106,1303,46,30,21,19,13,100,432.0,391.0,868.0,454,388,1098,21,23,7
560,537,640,249,222,898,432,401,640,60,52,67,744,678,1315,558,520,857,304,251,739,432.0,391.0,868.0,193,159,617,177,106,1303
505,470,720,10,1,47,432,391,868,195,143,947,619,616,576,124,74,933,327,298,677,113.0,104.0,504.0,314,295,697,301,266,755
23,13,14,1129,1094,684,163,160,507,432,391,868,413,369,926,142,98,763,107,74,706,430.0,396.0,809.0,20,10,28,485,442,788
142,98,763,143,85,946,432,391,868,146,88,948,485,442,788,228,156,1068,1129,1094,684,686.0,619.0,1255.0,7,5,68,423,389,812
558,520,857,313,308,465,432,391,868,146,88,948,128,84,698,6,4,75,6,5,74,66.0,77.0,70.0,129,88,677,619,616,576
558,520,857,327,294,530,432,391,868,544,510,764,115,53,102,189,195,668,315,281,794,277.0,214.0,1058.0,120,107,314,128,84,698
558,520,857,26,14,75,316,298,402,646,614,687,138,115,1108,498,463,795,315,281,794,169.0,160.0,880.0,432,391,868,128,84,698
281,227,941,298,265,677,324,287,682,432,391,868,346,314,568,277,245,621,646,614,687,393.0,343.0,1032.0,146,111,829,11,4,77
