SERVER,BTOP_CHAMP_ID,BJGL_CHAMP_ID,BMID_CHAMP_ID,BBOT_CHAMP_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RJGL_CHAMP_ID,RMID_CHAMP_ID,RBOT_CHAMP_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,BCHAMP_KILLS,RCHAMP_KILLS,FIRST_DRAG,BDRAG_KILLS,RDRAG_KILLS,FIRST_HERALD,BHERALD_KILLS,RHERALD_KILLS,FIRST_TOWER,BTOWER_KILLS,RTOWER_KILLS,FIRST_BARON,BBARON_KILLS,RBARON_KILLS,FIRST_INHIB,BINHIB_KILLS,RINHIB_KILLS,WINNER
KOREA,58,64,163,222,223,91,203,555,110,429,102,62,268,81,22,555,119,-1,350,221,0,19,27,1,0,3,1,0,2,1,2,11,1,0,1,1,0,3,1
KOREA,58,91,517,157,888,887,350,429,78,163,150,234,103,110,79,39,-1,119,555,76,0,52,28,1,4,1,0,2,0,0,8,2,0,2,0,0,1,0,0
KOREA,24,163,777,29,111,888,429,555,235,119,266,76,7,875,15,58,246,221,350,119,0,39,34,1,3,1,1,0,2,1,11,6,1,1,1,1,3,1,0
KOREA,126,48,517,523,111,711,68,-1,119,268,58,33,13,429,888,119,163,62,555,91,1,25,8,0,2,0,0,2,0,0,7,1,2,0,0,0,1,0,0
KOREA,84,120,711,523,888,62,114,111,119,429,41,163,777,15,235,246,895,68,555,254,0,23,25,0,2,0,0,1,0,1,3,7,1,0,1,1,0,1,1
KOREA,44,64,777,523,887,-1,163,22,119,157,24,59,117,429,517,350,78,119,555,107,0,27,12,0,1,1,0,2,0,0,7,1,0,1,0,0,1,0,0
KOREA,266,163,157,81,235,888,-1,555,429,221,150,80,7,30,111,429,350,267,246,119,0,37,16,0,3,0,1,1,1,0,7,2,0,1,0,0,1,0,0
KOREA,92,234,163,81,43,119,76,895,58,429,24,121,268,235,223,555,119,41,221,-1,0,24,29,1,1,3,0,2,0,0,5,7,0,2,0,1,0,1,1
KOREA,19,80,517,15,350,24,119,429,60,55,91,234,163,110,12,268,55,887,119,150,0,20,7,0,1,0,1,0,1,0,1,0,2,0,0,2,0,0,0
KOREA,104,163,234,119,53,268,107,39,76,15,203,266,517,115,111,15,429,55,895,268,0,34,29,1,2,1,1,1,1,1,7,2,0,1,0,0,1,0,0
KOREA,266,221,142,350,11,78,777,7,39,119,164,59,3,15,43,91,888,78,55,-1,1,19,10,0,1,1,1,1,1,0,7,1,2,0,0,0,1,0,0
