SERVER,BTOP_CHAMP_ID,BJGL_CHAMP_ID,BMID_CHAMP_ID,BBOT_CHAMP_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RJGL_CHAMP_ID,RMID_CHAMP_ID,RBOT_CHAMP_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,WINNER
EUROPE WEST,516,80,142,15,117,895,350,27,221,119,59,64,163,429,12,268,119,888,887,-1,0
EUROPE WEST,117,131,91,235,147,-1,555,7,43,39,119,80,103,777,223,121,887,40,350,200,0
EUROPE WEST,222,163,142,516,40,350,895,103,15,119,67,121,134,29,50,350,119,517,141,429,1
EUROPE WEST,17,246,31,81,555,28,8,15,163,429,150,62,134,21,37,119,166,91,429,350,1
EUROPE WEST,150,104,69,145,526,41,131,555,119,107,39,64,55,222,427,-1,234,268,107,24,0
EUROPE WEST,85,62,150,15,44,39,163,888,429,119,113,254,268,498,117,350,77,114,29,888,0
EUROPE WEST,122,62,103,15,888,350,114,113,166,157,150,9,777,429,497,7,895,78,114,350,0
EUROPE WEST,54,104,103,96,888,517,119,895,41,350,67,163,157,222,497,119,429,7,350,-1,0
EUROPE WEST,122,121,134,360,89,15,141,84,163,350,80,9,517,81,37,429,131,-1,350,895,1
EUROPE WEST,24,28,517,429,555,107,119,114,888,350,122,64,103,157,79,246,150,84,119,350,0
EUROPE WEST,39,2,43,29,103,555,-1,246,114,119,266,60,163,429,89,350,28,107,200,62,1
EUROPE WEST,150,20,84,119,888,268,77,350,200,114,98,234,31,360,111,163,555,147,41,887,1
EUROPE WEST,58,200,45,145,555,48,43,268,147,350,875,163,235,517,223,350,119,887,895,141,0
EUROPE WEST,41,78,517,81,497,200,350,23,163,887,68,421,61,119,555,895,134,107,429,163,1
EUROPE WEST,24,62,163,221,497,777,119,40,77,55,23,121,268,81,43,360,429,114,350,107,1
EUROPE WEST,102,62,163,523,43,429,555,119,26,55,79,234,81,15,117,150,887,350,107,77,1
EUROPE WEST,102,81,245,62,235,-1,429,350,119,7,150,234,163,15,89,246,-1,350,221,86,1
EUROPE WEST,23,200,45,15,117,119,268,29,114,350,887,234,42,221,37,141,122,121,429,78,0
EUROPE WEST,64,78,55,523,32,246,429,268,119,432,23,234,7,15,117,350,24,107,121,119,1
EUROPE WEST,150,200,711,222,888,78,119,29,107,18,517,62,8,429,32,142,119,350,-1,163,0
EUROPE WEST,23,76,268,110,888,84,8,119,62,350,39,78,55,429,111,122,119,141,163,84,1
EUROPE WEST,150,254,163,81,497,55,119,131,78,200,58,59,711,236,267,200,429,350,34,28,0
EUROPE WEST,84,121,163,202,43,119,62,-1,38,221,41,64,517,15,40,119,246,78,555,92,1
EUROPE WEST,122,78,55,18,555,38,150,432,350,200,887,104,50,429,32,163,777,119,131,517,1
EUROPE WEST,14,246,101,51,43,40,119,887,103,141,39,254,163,236,267,119,55,38,141,-1,0
EUROPE WEST,113,5,142,21,497,777,91,166,119,55,126,104,517,221,43,-1,119,59,166,-1,1
EUROPE WEST,24,234,711,81,16,114,235,421,119,268,887,121,7,29,497,119,350,78,-1,163,0
EUROPE WEST,8,234,7,895,43,122,-1,246,114,119,39,131,38,523,32,141,119,555,23,711,0
